,Index,Well,Leg,Formation,Biozone,Measured Depth (ft),Footage Drilled / hr ,WHP (psig),SiBHP (psig),BHP (psig),Difference,Reservoir Gas Rate (MMSCF/D),BHT (DegF),"Comments, post SNOC input"
598,818,SAJAA-03,LEG D (ST1/ST2),KHARAIB,23_K70,13232.0,80.0,147.0,1335,1262,,8.87,,ADDED SIBHP - BASED ON LEG A
599,819,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,13312.0,68.0,146.0,1335,1254,,8.61,,ADDED SIBHP - BASED ON LEG A
600,820,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,13380.0,37.0,121.0,1335,1257,,8.1,,ADDED SIBHP - BASED ON LEG A
601,821,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,13417.0,23.0,145.0,1335,1270,,8.82,,ADDED SIBHP - BASED ON LEG A
602,822,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,13440.0,40.0,145.0,1335,1255,,8.85,,ADDED SIBHP - BASED ON LEG A
603,823,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,13480.0,43.0,132.0,1335,1249,,8.681,,ADDED SIBHP - BASED ON LEG A
604,824,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,13523.4,32.0,120.0,1335,1254,,8.927,,ADDED SIBHP - BASED ON LEG A
605,825,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,13555.4,39.0,124.0,1335,1248,,8.465,,ADDED SIBHP - BASED ON LEG A
606,826,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,13594.0,46.0,124.0,1335,1262,,8.318,,ADDED SIBHP - BASED ON LEG A
607,827,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,13640.0,12.0,140.0,1335,1263,,8.5,,ADDED SIBHP - BASED ON LEG A
608,828,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,13652.2,22.0,134.0,1335,1261,,8.895,,ADDED SIBHP - BASED ON LEG A
609,829,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,13674.4,52.0,131.0,1335,1275,,8.896,,ADDED SIBHP - BASED ON LEG A
610,830,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,13726.4,37.0,126.0,1335,1266,,8.368,,ADDED SIBHP - BASED ON LEG A
611,831,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,13763.7,134.0,124.0,1335,1277,,8.938,,ADDED SIBHP - BASED ON LEG A
612,832,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,13898.0,69.0,116.0,1335,1267,,8.29,,ADDED SIBHP - BASED ON LEG A
613,833,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,13967.0,52.0,139.0,1335,1263,,8.89,,ADDED SIBHP - BASED ON LEG A
614,834,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,14019.0,31.0,140.0,1335,1292,,8.84,,ADDED SIBHP - BASED ON LEG A
615,835,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,14050.0,31.0,149.0,1335,1264,,9.29,,ADDED SIBHP - BASED ON LEG A
616,836,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,14081.0,13.0,138.0,1335,1268,,8.91,,ADDED SIBHP - BASED ON LEG A
617,837,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,14094.0,12.0,139.0,1335,1263,,8.48,,ADDED SIBHP - BASED ON LEG A
618,838,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,14106.0,13.0,140.0,1335,1260,,8.54,,ADDED SIBHP - BASED ON LEG A
619,839,SAJAA-03,LEG D (ST1/ST2),KHARAIB,24_K60,14119.0,22.0,141.0,1335,1247,,8.53,,ADDED SIBHP - BASED ON LEG A
620,840,SAJAA-03,LEG D (ST1/ST2),KHARAIB,,14141.0,37.0,136.0,1335,1265,,8.38,,ADDED SIBHP - BASED ON LEG A
621,841,SAJAA-03,LEG D (ST1/ST2),KHARAIB,,14178.0,33.0,153.0,1335,1281,,8.48,,ADDED SIBHP - BASED ON LEG A
622,898,SAJAA-04,LEG B,SHUAIBA,19_S10,11050.0,17.7,294.0,1150,1150,,5.294,,
623,899,SAJAA-04,LEG B,SHUAIBA,19_S10,11067.7,15.2,394.0,1150,1104,,3.14,,
624,900,SAJAA-04,LEG B,SHUAIBA,19_S10,11082.9,10.0,385.0,1150,1089,,2.268,,
625,901,SAJAA-04,LEG B,SHUAIBA,19_S10,11092.9,20.0,417.0,1150,1080,,1.121,,
626,902,SAJAA-04,LEG B,KHARAIB,2_K90,11112.9,2.1,372.0,1150,1038,,2.899,,
627,903,SAJAA-04,LEG B,KHARAIB,2_K90,11115.0,18.0,350.8,1150,1014,,2.81,,
628,904,SAJAA-04,LEG B,KHARAIB,2_K90,11133.0,27.0,301.1,1150,947,,2.581,,
629,905,SAJAA-04,LEG B,KHARAIB,20_K80 UPPER,11160.0,5.0,199.0,1150,979,,0.981,,
630,906,SAJAA-04,LEG B,KHARAIB,20_K80 UPPER,11165.0,17.0,308.0,1150,956,,2.828,,
631,907,SAJAA-04,LEG B,KHARAIB,20_K80 UPPER,11182.0,7.0,295.1,1150,956,,2.633,,
632,908,SAJAA-04,LEG B,KHARAIB,21_K80 MID/LOWER,11189.0,10.0,241.2,1150,976,,0.551,,
633,909,SAJAA-04,LEG B,KHARAIB,21_K80 MID/LOWER,11199.0,28.0,259.0,1150,948,,2.892,,
634,910,SAJAA-04,LEG B,KHARAIB,21_K80 MID/LOWER,11227.0,17.0,296.0,1150,940,,2.389,,
635,911,SAJAA-04,LEG B,KHARAIB,23_K70,11244.0,10.0,275.2,1150,959,,1.877,,
636,912,SAJAA-04,LEG B,KHARAIB,23_K70,11254.0,26.0,301.8,1150,935,,2.608,,
637,913,SAJAA-04,LEG B,KHARAIB,23_K70,11280.0,10.0,234.7,1150,963,,0.702,,
638,914,SAJAA-04,LEG B,KHARAIB,23_K70,11290.0,38.0,282.5,1150,950,,1.587,,
639,915,SAJAA-04,LEG B,KHARAIB,24_K60,11328.0,12.0,288.6,1150,938,,2.277,,
640,916,SAJAA-04,LEG B,KHARAIB,24_K60,11340.0,45.0,321.1,1150,921,,2.885,,
641,917,SAJAA-04,LEG B,KHARAIB,24_K60,11385.0,17.0,308.0,1150,958,,2.289,,
642,918,SAJAA-04,LEG B,KHARAIB,24_K60,11402.0,18.0,415.2,1150,1100,,3.957,,
643,919,SAJAA-04,LEG B,KHARAIB,24_K60,11420.0,17.0,417.2,1150,1094,,2.874,,
644,920,SAJAA-04,LEG B,KHARAIB,25_K50,11437.0,15.0,434.0,1150,1078,,2.783,,
645,921,SAJAA-04,LEG B,KHARAIB,25_K50,11452.0,5.0,396.1,1150,1063,,2.333,,
646,922,SAJAA-04,LEG B,KHARAIB,25_K50,11457.0,15.7,431.0,1150,1061,,2.613,,
647,923,SAJAA-04,LEG B,KHARAIB,25_K50,11472.7,50.3,416.0,1150,1055,,2.76,,
648,924,SAJAA-04,LEG B,KHARAIB,25_K50,11523.0,17.0,333.0,1150,991,,3.035,,
649,925,SAJAA-04,LEG B,KHARAIB,25_K50,11540.0,37.9,269.8,1150,955,,4.09,,
650,926,SAJAA-04,LEG B,KHARAIB,26_K40 UPPER,11577.9,20.3,253.0,1150,932,,3.157,,
651,927,SAJAA-04,LEG B,KHARAIB,26_K40 UPPER,11598.2,46.8,258.0,1150,930,,3.206,,
652,928,SAJAA-04,LEG B,KHARAIB,26_K40 UPPER,11645.0,50.0,284.0,1150,936,,2.549,,
653,929,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,11695.0,65.0,317.0,1150,963,,2.717,,
654,930,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,11760.0,221.0,318.0,1150,978,,3.254,,
655,931,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,11981.0,17.0,308.0,1150,999,,3.1,,
656,932,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,11998.0,92.0,386.0,1150,1015,,2.935,,
657,933,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12090.0,50.0,219.2,1150,1003,,3.78,,
658,934,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12140.0,51.0,263.4,1150,1004,,4.01,,
659,935,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12191.0,39.0,361.7,1150,1055,,3.3,,
660,936,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12230.0,20.0,387.0,1150,1048,,3.734,,
661,937,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12250.0,48.0,335.5,1150,1040,,4.624,,
662,938,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12298.0,56.0,250.5,1150,1045,,3.9,,
663,939,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12354.0,6.0,275.8,1150,1052,,4.002,,
664,940,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12360.0,17.0,300.5,1150,1046,,5.3,,
665,941,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12377.0,34.0,276.9,1150,1046,,3.592,,
666,942,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12411.0,31.0,271.2,1150,1050,,3.74,,
667,943,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12442.0,23.0,332.7,1150,1059,,3.901,,
668,944,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12465.0,9.0,308.5,1150,1062,,3.52,,
669,945,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12474.0,36.0,150.0,1150,1047,,6.035,,
670,946,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12510.0,138.0,273.0,1150,1060,,4.175,,
671,947,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12648.0,72.0,292.0,1150,1071,,4.264,,
672,948,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12720.0,96.0,185.8,1150,1060,,4.639,,
673,949,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12816.0,14.0,231.0,1150,1090,,5.137,,
674,950,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12830.0,48.0,240.5,1150,1071,,4.654,,
675,951,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12878.0,82.0,221.0,1150,1095,,4.052,,
676,952,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,12960.0,118.0,251.0,1150,1109,,4.97,,
677,953,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,13078.0,61.0,245.0,1150,1140,,5.4,,
678,954,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,13139.0,41.0,272.0,1150,1288,,4.662,,
679,955,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,13180.0,20.0,168.0,1150,1317,,8.31,,
680,956,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,13200.0,30.0,653.0,1150,1328,,3.479,,
681,957,SAJAA-04,LEG B,KHARAIB,27_K40 LOWER,13230.0,20.0,301.3,1150,1325,,6.939,,
682,958,SAJAA-04,LEG B,KHARAIB,26_K40 UPPER,13250.0,10.0,249.0,1150,1326,,8.177,,
683,959,SAJAA-04,LEG B,KHARAIB,26_K40 UPPER,13260.0,27.0,271.9,1150,1326,,7.74,,
684,960,SAJAA-04,LEG B,KHARAIB,26_K40 UPPER,13287.0,18.0,254.3,1150,1325,,7.8,,
685,961,SAJAA-04,LEG B,KHARAIB,26_K40 UPPER,13305.0,15.0,267.5,1150,1325,,8.6,,
686,962,SAJAA-04,LEG B,KHARAIB,26_K40 UPPER,13320.0,26.0,267.1,1150,1325,,9.348,,
687,963,SAJAA-04,LEG B,KHARAIB,26_K40 UPPER,13346.0,29.0,283.4,1150,1323,,9.345,,
688,964,SAJAA-04,LEG B,KHARAIB,26_K40 UPPER,13375.0,18.0,421.7,1150,1323,,7.881,,
689,965,SAJAA-04,LEG B,KHARAIB,26_K40 UPPER,13393.0,31.0,596.1,1150,1323,,4.936,,
690,966,SAJAA-04,LEG B,KHARAIB,26_K40 UPPER,13424.0,41.6,461.7,1150,1325,,6.71,,
691,967,SAJAA-04,LEG C,SHUAIBA,17_S30,11000.0,-8.0,656.9,1150,1266,,4.318,,
692,968,SAJAA-04,LEG C,SHUAIBA,17_S30,10992.0,6.0,605.9,1150,1288,,5.911,,
693,969,SAJAA-04,LEG C,SHUAIBA,17_S30,10998.0,10.0,666.5,1150,1296,,2.758,,
694,970,SAJAA-04,LEG C,SHUAIBA,18_S20,11008.0,9.0,315.0,1150,1277,,8.921,,
695,971,SAJAA-04,LEG C,SHUAIBA,18_S20,11017.0,38.0,280.7,1150,1278,,9.501,,
696,972,SAJAA-04,LEG C,SHUAIBA,19_S10,11055.0,12.0,585.0,1150,1275,,5.86,,
697,973,SAJAA-04,LEG C,SHUAIBA,19_S10,11067.0,31.0,573.0,1150,1274,,6.0,,
698,974,SAJAA-04,LEG C,KHARAIB,2_K90,11098.0,27.0,536.0,1150,1274,,6.9,,
699,975,SAJAA-04,LEG C,KHARAIB,20_K80 UPPER,11125.0,18.0,552.9,1150,1274,,6.549,,
700,976,SAJAA-04,LEG C,KHARAIB,21_K80 MID/LOWER,11143.0,15.0,475.2,1150,1274,,7.592,,
701,977,SAJAA-04,LEG C,KHARAIB,21_K80 MID/LOWER,11158.0,8.0,470.8,1150,1280,,7.583,,
702,978,SAJAA-04,LEG C,KHARAIB,21_K80 MID/LOWER,11166.0,12.0,428.0,1150,1276,,7.58,,
703,979,SAJAA-04,LEG C,KHARAIB,23_K70,11178.0,10.0,410.2,1150,1278,,7.085,,
704,980,SAJAA-04,LEG C,KHARAIB,23_K70,11188.0,62.0,401.0,1150,1279,,7.046,-,
705,981,SAJAA-04,LEG C,KHARAIB,24_K60,11250.0,21.0,436.9,1150,1286,,6.756,,
706,982,SAJAA-04,LEG C,KHARAIB,24_K60,11271.0,19.0,444.9,1150,1282,,6.472,,
707,983,SAJAA-04,LEG C,KHARAIB,24_K60,11290.0,36.0,491.3,1150,1287,,6.578,,
708,984,SAJAA-04,LEG C,KHARAIB,25_K50,11326.0,28.0,450.0,1150,1289,,5.6,,
709,985,SAJAA-04,LEG C,KHARAIB,26_K40 UPPER,11354.0,19.0,471.0,1150,1293,,6.1,,
710,986,SAJAA-04,LEG C,KHARAIB,26_K40 UPPER,11373.0,16.0,464.0,1150,1298,,5.8,,
711,987,SAJAA-04,LEG C,KHARAIB,26_K40 UPPER,11389.0,115.0,352.0,1150,1307,,7.2,,
712,988,SAJAA-04,LEG C,KHARAIB,3_K20,11504.0,3.5,241.0,1150,1301,,8.0,,
713,989,SAJAA-04,LEG C,KHARAIB,3_K20,11507.5,15.5,289.0,1150,1309,,8.8,,
714,990,SAJAA-04,LEG C,KHARAIB,3_K20,11523.0,28.0,249.0,1150,1311,,6.8,,
715,991,SAJAA-04,LEG C,LEKHWAIR,41_L100,11551.0,26.0,241.0,1150,1316,,7.4,,
716,992,SAJAA-04,LEG C,LEKHWAIR,31_L80,11577.0,32.0,228.0,1150,1320,,7.1,,
717,993,SAJAA-04,LEG C,LEKHWAIR,31_L80,11609.0,17.0,331.7,1150,1321,,8.203,,
718,994,SAJAA-04,LEG C,LEKHWAIR,32_L70,11626.0,33.0,322.7,1150,1315,,8.48,,
719,995,SAJAA-04,LEG C,LEKHWAIR,32_L70,11659.0,30.0,314.0,1150,1313,,8.44,,
720,996,SAJAA-04,LEG C,LEKHWAIR,32_L70,11689.0,31.0,308.0,1150,1326,,8.257,,
721,997,SAJAA-04,LEG C,LEKHWAIR,32_L70,11720.0,10.0,241.7,1150,1336,,5.444,,
722,998,SAJAA-04,LEG C,LEKHWAIR,33_L60,11730.0,53.0,323.5,1150,1330,,7.568,,
723,999,SAJAA-04,LEG C,LEKHWAIR,33_L60,11783.0,25.0,306.0,1150,1338,,6.999,,
724,1000,SAJAA-04,LEG C,LEKHWAIR,34_L50,11808.0,32.0,295.4,1150,1340,,6.776,,
725,1001,SAJAA-04,LEG C,LEKHWAIR,34_L50,11840.0,25.0,256.0,1150,1338,,6.811,,
726,1002,SAJAA-04,LEG C,LEKHWAIR,34_L50,11865.0,28.0,220.0,1150,1139,,6.7,,
727,1003,SAJAA-04,LEG C,LEKHWAIR,34_L50,11893.0,18.0,207.0,1150,1347,,6.9,,
728,1004,SAJAA-04,LEG C,LEKHWAIR,35_L45,11911.0,9.0,205.0,1150,1352,,6.9,,
729,1005,SAJAA-04,LEG C,LEKHWAIR,35_L45,11920.0,16.0,211.0,1150,1348,,7.2,,
730,1006,SAJAA-04,LEG C,LEKHWAIR,35_L45,11936.0,24.0,206.6,1150,1351,,7.04,,
731,1007,SAJAA-04,LEG C,LEKHWAIR,35_L45,11960.0,18.0,210.0,1150,1356,,7.7,,
732,1008,SAJAA-04,LEG C,LEKHWAIR,35_L45,11978.0,13.0,207.0,1150,1354,,7.1,,
733,1009,SAJAA-04,LEG C,LEKHWAIR,36_L42,11991.0,20.0,200.4,1150,1354,,6.88,,
734,1010,SAJAA-04,LEG C,LEKHWAIR,36_L42,12011.0,12.0,204.0,1150,1356,,6.8,,
735,1011,SAJAA-04,LEG C,LEKHWAIR,37_L38,12023.0,28.0,218.0,1150,1354,,7.8,,
736,1012,SAJAA-04,LEG C,LEKHWAIR,37_L38,12051.0,13.0,205.1,1150,1359,,7.085,,
737,1013,SAJAA-04,LEG C,LEKHWAIR,37_L38,12064.0,26.0,205.8,1150,1367,,6.103,,
738,1014,SAJAA-04,LEG C,LEKHWAIR,37_L38,12090.0,10.0,229.8,1150,1369,,6.656,,
739,1015,SAJAA-04,LEG C,LEKHWAIR,38_L35,12100.0,30.0,221.0,1150,1368,,6.31,,
740,1016,SAJAA-04,LEG C,LEKHWAIR,38_L35,12130.0,28.0,199.0,1150,1359,,6.871,,
741,1017,SAJAA-04,LEG C,LEKHWAIR,38_L35,12158.0,70.0,285.0,1150,1357,,7.39,,
742,1018,SAJAA-04,LEG C,LEKHWAIR,39_L33,12228.0,29.0,295.0,1150,1369,,7.5,,
743,1019,SAJAA-04,LEG C,LEKHWAIR,39_L33,12257.0,23.0,289.0,1150,1353,,7.5,,
744,1020,SAJAA-04,LEG C,LEKHWAIR,39_L33,12280.0,55.0,281.0,1150,1379,,7.21,,
745,1021,SAJAA-04,LEG C,LEKHWAIR,39_L33,12335.0,37.0,383.5,1150,1398,,6.196,,
746,1022,SAJAA-04,LEG C,LEKHWAIR,39_L33,12372.0,28.0,283.0,1150,1392,,7.092,,
747,1023,SAJAA-04,LEG C,LEKHWAIR,4_L30,12400.0,15.0,316.0,1150,1377,,8.152,,
748,1024,SAJAA-04,LEG C,LEKHWAIR,4_L30,12415.0,13.0,235.6,1150,1395,,7.426,,
749,1025,SAJAA-04,LEG C,LEKHWAIR,4_L30,12428.0,20.0,246.6,1150,1396,,8.04,,
750,1026,SAJAA-04,LEG C,LEKHWAIR,40_L20,12448.0,26.0,230.0,1150,1398,,8.767,,
751,1027,SAJAA-04,LEG C,LEKHWAIR,40_L20,12474.0,29.0,225.8,1150,1395,,8.195,,
752,1028,SAJAA-04,LEG C,LEKHWAIR,40_L20,12503.0,17.0,204.0,1150,1391,,8.063,,
753,1029,SAJAA-04,LEG C,LEKHWAIR,40_L20,12520.0,11.0,215.6,1150,1394,,8.878,,
754,1030,SAJAA-04,LEG C,LEKHWAIR,42_L10,12531.0,26.0,207.0,1150,1391,,8.575,,
755,1031,SAJAA-04,LEG C,HABSHAN,5_H100,12557.0,17.0,207.0,1150,1394,,8.307,,
756,1032,SAJAA-04,LEG C,HABSHAN,5_H100,12574.0,28.0,178.0,1150,1391,,7.218,,
757,1033,SAJAA-04,LEG C,HABSHAN,5_H100,12602.0,56.0,201.9,1150,1409,,8.13,,
758,1034,SAJAA-04,LEG C,HABSHAN,5_H100,12658.0,38.0,428.0,1150,1413,,5.8,,
759,1035,SAJAA-04,LEG C,HABSHAN,5_H100,12696.0,14.0,421.0,1150,1410,,5.7,,
760,1036,SAJAA-04,LEG C,HABSHAN,5_H100,12710.0,12.0,300.6,1150,1398,,7.705,,
761,1037,SAJAA-04,LEG C,HABSHAN,5_H100,12722.0,28.0,289.5,1150,1422,,7.673,,
762,1038,SAJAA-04,LEG C,HABSHAN,5_H100,12750.0,43.0,256.0,1150,1399,,7.331,,
763,1039,SAJAA-04,LEG C,HABSHAN,5_H100,12793.0,23.0,240.0,1150,1398,,8.158,,
764,1040,SAJAA-04,LEG C,HABSHAN,5_H100,12816.0,47.0,269.7,1150,1408,,8.08,,
765,1041,SAJAA-04,LEG C,HABSHAN,43_H90,12863.0,17.0,224.0,1150,1375,,7.192,,
766,1042,SAJAA-04,LEG C,HABSHAN,43_H90,12880.0,44.0,269.8,1150,1401,,8.237,,
767,1043,SAJAA-04,LEG C,HABSHAN,43_H90,12924.0,20.0,253.5,1150,1394,,9.173,,
768,1044,SAJAA-04,LEG C,HABSHAN,43_H90,12944.0,56.0,203.0,1150,1412,,7.169,,
769,1045,SAJAA-04,LEG C,HABSHAN,43_H90,13000.0,93.0,239.0,1150,1410,,7.7,,
770,1046,SAJAA-04,LEG C,HABSHAN,44_H80,13093.0,63.0,216.0,1150,1418,,6.8,,
771,1047,SAJAA-04,LEG C,HABSHAN,44_H80,13156.0,141.0,177.0,1150,1387,,6.0,,
772,1048,SAJAA-04,LEG C,HABSHAN,44_H80,13297.0,36.0,186.0,1150,1414,,6.775,,
773,1049,SAJAA-04,LEG C,HABSHAN,44_H80,13333.0,36.0,231.0,1150,1412,,7.783,,
774,1050,SAJAA-04,LEG C,HABSHAN,44_H80,13369.0,33.0,216.0,1150,1402,,7.747,,
775,1051,SAJAA-04,LEG C,HABSHAN,44_H80,13402.0,18.0,175.0,1150,1535,,6.163,,
776,1052,SAJAA-04,LEG C,HABSHAN,44_H80,13420.0,35.0,229.1,1150,1409,,8.062,,
777,1053,SAJAA-04,LEG C,HABSHAN,44_H80,13455.0,20.0,212.0,1150,1411,,7.616,,
778,1054,SAJAA-04,LEG C,HABSHAN,44_H80,13475.0,15.0,235.0,1150,1416,,7.83,,
779,1055,SAJAA-04,LEG C,HABSHAN,44_H80,13490.0,45.0,187.0,1150,1416,,6.903,,
780,1056,SAJAA-04,LEG C,HABSHAN,44_H80,13535.0,207.0,241.8,1150,1430,,7.751,,
781,1057,SAJAA-04,LEG C,HABSHAN,45_H60,13742.0,80.0,233.1,1150,1418,,8.3,,
782,1058,SAJAA-04,LEG C,HABSHAN,45_H60,13822.0,31.0,227.0,1150,1440,,8.0,,
783,1059,SAJAA-04,LEG C,HABSHAN,45_H60,13853.0,65.0,230.0,1150,1433,,7.7,,
784,1060,SAJAA-04,LEG C,HABSHAN,45_H60,13918.0,25.0,219.7,1150,1436,,7.279,,
785,1061,SAJAA-04,LEG C,HABSHAN,45_H60,13943.0,11.0,260.0,1150,1414,,8.182,,
786,1062,SAJAA-04,LEG C,HABSHAN,45_H60,13954.0,31.0,168.9,1150,1434,,6.094,,
787,1063,SAJAA-04,LEG C,HABSHAN,45_H60,13985.0,6.0,210.0,1150,1438,,7.28,,
788,1064,SAJAA-04,LEG C,HABSHAN,45_H60,13991.0,9.0,207.0,1150,1434,,6.283,,
789,1065,SAJAA-04,LEG C,HABSHAN,45_H60,14000.0,50.0,233.0,1150,1449,,8.237,,
790,1066,SAJAA-04,LEG C,HABSHAN,45_H60,14050.0,89.0,192.0,1150,1415,,6.561,,
791,1067,SAJAA-04,LEG C,HABSHAN,45_H60,14139.0,140.0,229.0,1150,1445,,8.16,,
792,1068,SAJAA-04,LEG C,HABSHAN,45_H60,14279.0,34.0,226.0,1150,1444,,7.5,,
793,1069,SAJAA-04,LEG C,HABSHAN,45_H60,14313.0,27.0,212.0,1150,1458,,6.5,,
794,1070,SAJAA-04,LEG C,HABSHAN,45_H60,14340.0,117.0,222.0,1150,1443,,7.762,,
795,1071,SAJAA-04,LEG C,HABSHAN,45_H60,14457.0,61.9,226.8,1150,1444,,8.015,,
796,1072,SAJAA-04,LEG H,LEKHWAIR,39_L33,12350.0,100.0,102.0,1150,805,,1.902,,ADDED SIBHP - BASED ON LEG C
797,1073,SAJAA-04,LEG H,LEKHWAIR,40_L20,12450.0,14.0,109.0,1150,820,,2.145,,ADDED SIBHP - BASED ON LEG C
798,1074,SAJAA-04,LEG H,LEKHWAIR,40_L20,12464.0,42.0,104.0,1150,823,,1.996,,ADDED SIBHP - BASED ON LEG C
799,1075,SAJAA-04,LEG H,LEKHWAIR,40_L20,12506.0,44.0,111.0,1150,833,,2.392,,ADDED SIBHP - BASED ON LEG C
800,1076,SAJAA-04,LEG H,LEKHWAIR,42_L10,12550.0,51.0,107.9,1150,830,,2.312,,ADDED SIBHP - BASED ON LEG C
801,1077,SAJAA-04,LEG H,HABSHAN,5_H100,12601.0,116.6,103.0,1150,851,,2.13,,ADDED SIBHP - BASED ON LEG C
802,1078,SAJAA-04,LEG H,HABSHAN,5_H100,12717.6,66.3,100.8,1150,859,,2.01,,ADDED SIBHP - BASED ON LEG C
803,1079,SAJAA-04,LEG H,HABSHAN,43_H90,12783.9,67.0,94.2,1150,871,,1.986,,ADDED SIBHP - BASED ON LEG C
804,1080,SAJAA-04,LEG H,HABSHAN,43_H90,12850.9,63.0,99.3,1150,866,,2.2,,ADDED SIBHP - BASED ON LEG C
805,1081,SAJAA-04,LEG H,HABSHAN,43_H90,12913.9,58.8,95.1,1150,862,,2.12,,ADDED SIBHP - BASED ON LEG C
806,1082,SAJAA-04,LEG H,HABSHAN,44_H80,12972.7,55.3,95.2,1150,875,,2.36,,ADDED SIBHP - BASED ON LEG C
807,1083,SAJAA-04,LEG H,HABSHAN,44_H80,13028.0,64.7,115.6,1150,818,,2.8,,ADDED SIBHP - BASED ON LEG C
808,1084,SAJAA-04,LEG H,HABSHAN,44_H80,13092.7,48.9,106.7,1150,826,,2.75,,ADDED SIBHP - BASED ON LEG C
809,1085,SAJAA-04,LEG H,HABSHAN,44_H80,13141.6,70.2,101.5,1150,841,,2.32,,ADDED SIBHP - BASED ON LEG C
810,1086,SAJAA-04,LEG H,HABSHAN,44_H80,13211.8,88.7,108.0,1150,856,,2.673,,ADDED SIBHP - BASED ON LEG C
811,1087,SAJAA-04,LEG H,HABSHAN,44_H80,13300.5,58.2,100.5,1150,870,,2.58,,ADDED SIBHP - BASED ON LEG C
812,1088,SAJAA-04,LEG H,HABSHAN,44_H80,13358.7,41.0,95.4,1150,856,,2.54,,ADDED SIBHP - BASED ON LEG C
813,1089,SAJAA-04,LEG H,HABSHAN,44_H80,13399.7,36.3,98.9,1150,847,,2.45,,ADDED SIBHP - BASED ON LEG C
814,1090,SAJAA-04,LEG H,HABSHAN,44_H80,13436.0,17.0,97.6,1150,842,,2.463,,ADDED SIBHP - BASED ON LEG C
815,1091,SAJAA-04,LEG H,HABSHAN,44_H80,13453.0,48.0,96.7,1150,844,,2.523,,ADDED SIBHP - BASED ON LEG C
816,1092,SAJAA-04,LEG H,HABSHAN,44_H80,13501.0,46.0,94.4,1150,856,,2.393,,ADDED SIBHP - BASED ON LEG C
817,1093,SAJAA-04,LEG H,HABSHAN,44_H80,13547.0,35.0,93.7,1150,852,,2.353,,ADDED SIBHP - BASED ON LEG C
818,1094,SAJAA-04,LEG H,HABSHAN,44_H80,13582.0,69.0,96.8,1150,855,,2.497,,ADDED SIBHP - BASED ON LEG C
819,1095,SAJAA-04,LEG H,HABSHAN,44_H80,13651.0,159.0,96.9,1150,868,,2.486,,ADDED SIBHP - BASED ON LEG C
820,1096,SAJAA-04,LEG H,HABSHAN,44_H80,13810.0,66.0,94.8,1150,858,,2.497,,ADDED SIBHP - BASED ON LEG C
